Bennett, Dominic J., Sutton, Mark D., and Turvey, Samuel T. 2018. Quantifying the living fossil concept. Palaeontologia Electronica 21.1.15A 1-25. https://doi.org/10.26879/750
palaeo-electronica.org/content/2018/2194-quantifying-the-living-fossil
Appendix 6. Information and statistics for all clades for which pEPI, EPI and ED scores were calculated. Clades are ordered by pEPI. Common names are not available for all clades, these are automatically taken from NCBI. If you are looking for a specific clade, you may not find it because we only calculate values for clades that split. For example, lungfishes are represented by the clade ""Ceratodontimorpha"" even though they are more commonly known as ""Dipnoi"". This is because, according to NCBI taxonomy, the Dipnoi group only has a single child, Ceratodonitmorpha, which from the perspective of evolutionary performance make them the same clade. To find a clade, first search for it at the NCBI taxonomy website (www.ncbi.nlm.nih.gov/taxonomy) to ensure it is splitting. Additionally, many clades were ommitted if their ""Success"" was greater than 0.01 and/or their parent had fewer than 500 descendent species.
,Copsychus luzoniensis,512571,Aves,1,8.286920974,0.125,0.982783189,-4.194120027,59%-60%,-2.012317594,9.123191944
lorises,Lorisidae,9461,Mammals,11,40.5,0.611111111,0.968772757,-4.193778459,59%-60%,-3.243950631,28.48158255
,Emilia,189212,Embryophytes,10,2.2,0.033222591,-,-4.192982532,59%-60%,-,-
,Aspleniaceae,41972,Embryophytes,279,82.84,1.251121076,-,-4.192871026,59%-60%,-,-
long-tailed minivet,Pericrocotus ethologus,254642,Aves,1,5.088560017,0.076923077,-,-4.191944244,59%-60%,-,8.681719976
Royal spoonbill,Platalea regia,757428,Aves,1,13.23004985,0.2,-,-4.191928658,59%-60%,-,17.83656374
Hawaiian hawk,Buteo solitarius,223855,Aves,1,2.448016338,0.037037037,0.812141963,-4.191114905,59%-60%,-1.058763317,3.735904084
,Pericrocotus lansbergei,424834,Aves,1,5.083414402,0.076923077,-,-4.19093252,59%-60%,-,8.679149702
,Geomys,13544,Mammals,11,16.9,0.255813953,1.015055659,-4.190618465,59%-60%,-2.587612222,9.505968866
,Prionochilus thoracicus,667173,Aves,1,13.20184138,0.2,0.918462364,-4.189794231,59%-60%,-2.468401466,16.08824677
Palmer's chipmunk,Tamias palmeri,123789,Mammals,1,3,0.045454545,0.960100495,-4.189654742,59%-60%,-1.093072621,5.886063021
Uinta chipmunk,Tamias umbrinus,123797,Mammals,1,3,0.045454545,0.960100495,-4.189654742,59%-60%,-1.093072621,5.886063021
,Viverra,71120,Mammals,3,11,0.166666667,0.968500881,-4.189654742,59%-60%,-2.271115014,8.713543889
,Potorous platyops,173935,Mammals,1,22,0.333333333,-,-4.189654742,59%-60%,-,-
Gilbert's potoroo,Potorous gilbertii,173936,Mammals,1,22,0.333333333,-,-4.189654742,59%-60%,-,-
long-footed potoroo,Potorous longipes,55310,Mammals,1,22,0.333333333,0.949810701,-4.189654742,59%-60%,-2.84172911,27.28869058
long-nosed potoroo,Potorous tridactylus,9310,Mammals,1,22,0.333333333,1.075283949,-4.189654742,59%-60%,-2.748433881,27.28869058
black-tipped monarch,Symposiachrus loricatus,1576483,Aves,1,5.075648917,0.076923077,-,-4.18940374,59%-60%,-,6.594819538
,Cettia cetti,68486,Aves,1,6.593323872,0.1,-,-4.188642695,59%-60%,-,8.524913776
dusky tit,Melaniparus funereus,1356376,Aves,1,4.707571336,0.071428571,-,-4.188229465,59%-60%,-,9.287099064
,Emberiza cia,504296,Aves,1,2.123891982,0.032258065,-,-4.187237451,59%-60%,-,4.713889192
,Denhamia,123411,Embryophytes,11,10.8,0.164179104,-,-4.186343481,59%-60%,-,-
,Pristimera,123451,Embryophytes,11,10.8,0.164179104,-,-4.186343481,59%-60%,-,-
,Physaleae,424573,Embryophytes,236,20.425,0.310526316,-,-4.186246269,59%-60%,-,-
chestnut-backed bush-warbler,Bradypterus castaneus,260101,Aves,1,3.460819438,0.052631579,-,-4.185944372,59%-60%,-,6.04202569
,Francolinus schlegelii,903963,Aves,1,1.826451895,0.027777778,0.750027032,-4.185894168,59%-60%,-0.853654904,7.946627917
,Tordylieae,489404,Embryophytes,200,27.1125,0.412371134,-,-4.185826401,59%-60%,-,-
northern pygmy gerbils,Gerbillus,10186,Mammals,21,25.1,0.381818182,0.872468388,-4.185678594,59%-60%,-2.996300906,25.17892653
,Conopophaga castaneiceps,1521545,Aves,1,8.214080775,0.125,-,-4.185291391,59%-60%,-,12.33630019
Philippine scops-owl,Otus megalotis,56273,Aves,1,2.346017113,0.035714286,-,-4.184923555,59%-60%,-,7.101256271
,Thryothorus rutilus,197872,Aves,1,3.649036009,0.055555556,-,-4.184834783,59%-60%,-,5.809618902
,Poospiza rubecula,1226198,Aves,1,4.103537462,0.0625,-,-4.18443812,59%-60%,-,4.969571007
,Oceanodroma,52123,Aves,10,54.6894437,0.833333333,-,-4.183992262,59%-60%,-,20.60524838
leaf blotch miner moths,Gracillariidae,98966,Arthropods,644,179.7,2.740425532,-,-4.183175582,59%-60%,-,-
African grass-owl,Tyto capensis,212794,Aves,1,4.368583468,0.066666667,-,-4.182489008,59%-60%,-,13.56712596
Venezuelan wood quail,Odontophorus columbianus,1355965,Aves,1,5.039501928,0.076923077,0.951965283,-4.182256611,59%-60%,-1.588828296,7.984956546
mountain swiftlet,Aerodramus hirundinaceus,1496111,Aves,1,4.366664671,0.066666667,-,-4.182049686,59%-60%,-,10.24974534
rough-faced shag,Leucocarbo carunculatus,1522878,Aves,1,4.366377159,0.066666667,-,-4.181983841,59%-60%,-,8.086256217
Henderson Island fruit-dove,Ptilinopus insularis,1390573,Aves,1,1.51959649,0.023255814,0.813624362,-4.179644948,59%-60%,-0.596519211,6.657921064
,Clinantheae,1562975,Embryophytes,6,5.6,0.085714286,-,-4.179502371,59%-60%,-,-
nasute termites,Nasutitermitinae,62941,Arthropods,167,41.8,0.639846743,-,-4.179422934,59%-60%,-,-
fawn-breasted wren,Thryothorus guarayanus,241538,Aves,1,3.627956971,0.055555556,1.409294735,-4.17904143,59%-60%,-0.906916626,5.960129817
small cave bear,Ursus rossicus,1530197,Mammals,1,7.25,0.111111111,-,-4.178226046,59%-60%,-,-
,Ursus sp. Shennongjia white bear,373678,Mammals,1,7.25,0.111111111,-,-4.178226046,59%-60%,-,-
cave bear,Ursus spelaeus,39097,Mammals,1,7.25,0.111111111,-,-4.178226046,59%-60%,-,-
Gamssulzen cave bear,Ursus ingressus,518689,Mammals,1,7.25,0.111111111,-,-4.178226046,59%-60%,-,-
Deninger's bear,Ursus deningeri,518691,Mammals,1,7.25,0.111111111,-,-4.178226046,59%-60%,-,-
bear,Ursus sp.,9641,Mammals,1,7.25,0.111111111,-,-4.178226046,59%-60%,-,-
,Jubulineae,186799,Embryophytes,659,260.6,3.993939394,-,-4.178208604,59%-60%,-,-
dusky wood-swallow,Artamus cyanopterus,254442,Aves,1,8.150433838,0.125,-,-4.177512699,59%-60%,-,10.56700589
Monckton's Paramelomys,Paramelomys moncktoni,1078247,Mammals,1,16.3,0.25,-,-4.177459469,59%-60%,-,16.90684627
Papuan lowland Paramelomys,Paramelomys levipes,442594,Mammals,1,16.3,0.25,-,-4.177459469,59%-60%,-,-
Common lowland Paramelomys,Paramelomys platyops,442595,Mammals,1,16.3,0.25,-,-4.177459469,59%-60%,-,-
Mountain Paramelomys,Paramelomys rubex,442596,Mammals,1,16.3,0.25,-,-4.177459469,59%-60%,-,-
,Paramelomys lorentzii,491863,Mammals,1,16.3,0.25,-,-4.177459469,59%-60%,-,-
,Conirostrum cinereum,1226178,Aves,1,7.244295171,0.111111111,-,-4.177438863,59%-60%,-,7.944157422
,Zosterops luteirostris,589899,Aves,1,1.018678915,0.015625,-,-4.17738969,59%-60%,-,1.396539144
Schalow's turaco,Tauraco schalowi,119419,Aves,1,6.517594171,0.1,0.974279581,-4.177090409,59%-60%,-1.802855036,16.67592594
Hartlaub's turaco,Tauraco hartlaubi,56304,Aves,1,6.517593688,0.1,0.968189943,-4.177090335,59%-60%,-1.808539667,16.6759257
Stejneger's stonechat,Saxicola stejnegeri,1663730,Aves,1,5.431290134,0.083333333,-,-4.177083349,59%-60%,-,-
Siberian stonechat,Saxicola maurus,230657,Aves,1,5.431290134,0.083333333,-,-4.177083349,59%-60%,-,-
European stonechat,Saxicola rubicola,230659,Aves,1,5.431290134,0.083333333,-,-4.177083349,59%-60%,-,-
,Cyrtodactylus,96732,Lepidosaurians,145,81.44358974,1.25,-,-4.176767079,59%-60%,-,-
,Coleanthinae,1648010,Embryophytes,62,12.74,0.195583596,-,-4.176514039,59%-60%,-,-
,Epinecrophylla ornata,858329,Aves,1,8.14158845,0.125,0.999960733,-4.176426844,59%-60%,-1.979237171,9.242408248
buff-throated sunbird,Nectarinia adelberti,233789,Aves,1,3.42526782,0.052631579,-,-4.175618643,59%-60%,-,7.507804508
Scrub Euphonia,Euphonia affinis,504885,Aves,1,3.423739683,0.052631579,1.051887656,-4.175172408,59%-60%,-1.131323269,5.81377133
,Coeligena violifer,304610,Aves,1,5.913398382,0.090909091,-,-4.175115961,59%-60%,-,7.296864049
,Avahi,122245,Mammals,5,25,0.384615385,-,-4.17438727,59%-60%,-,30.58913583
fiery-throated fruiteater,Pipreola chlorolepidota,114367,Aves,1,8.118811568,0.125,-,-4.173625326,59%-60%,-,11.35528111
,Saguinus sp.,100754,Mammals,1,3.608333333,0.055555556,-,-4.173617743,59%-60%,-,-
Cruz Lima's saddle-back tamarin,Saguinus cruzlimai,1618156,Mammals,1,3.608333333,0.055555556,-,-4.173617743,59%-60%,-,-
black-handed tamarin,Saguinus niger,356665,Mammals,1,3.608333333,0.055555556,-,-4.173617743,59%-60%,-,-
Martin's tamarin,Saguinus martinsi,356666,Mammals,1,3.608333333,0.055555556,-,-4.173617743,59%-60%,-,-
white-mantled tamarin,Saguinus melanoleucus,873067,Mammals,1,3.608333333,0.055555556,-,-4.173617743,59%-60%,-,-
,Saguinus graellsi,873073,Mammals,1,3.608333333,0.055555556,-,-4.173617743,59%-60%,-,-
,Dryopteris,3287,Embryophytes,199,60.67333333,0.9342723,-,-4.173491623,59%-60%,-,-
,Aimophila rufescens,587461,Aves,1,5.898968805,0.090909091,-,-4.17267283,59%-60%,-,7.00440133
,Amazilia leucogaster,1118501,Aves,1,2.403206052,0.037037037,-,-4.172640567,59%-60%,-,4.00479486
,Pelecanus thagus,1108811,Aves,1,9.269044055,0.142857143,-,-4.172590401,59%-60%,-,24.2566369
brown-breasted bamboo-tyrant,Hemitriccus obsoletus,1577977,Aves,1,4.63421675,0.071428571,0.999505135,-4.172524528,59%-60%,-1.464936308,6.75727467
,Bubo sumatranus,748877,Aves,1,4.32486418,0.066666667,-,-4.172430937,59%-60%,-,8.907001432
,Dendrocygna guttata,60181,Aves,1,9.263814504,0.142857143,0.992008546,-4.172026046,59%-60%,-2.099601589,13.08114451
,Anthus pallidiventris,1002733,Aves,1,2.025450414,0.03125,-,-4.171528005,59%-60%,-,6.442992917
,Platalea,33577,Aves,6,20.46334594,0.315789474,0.984434351,-4.171314793,59%-60%,-2.75609886,14.00337465
,Petaurista albiventer,209425,Mammals,1,8.1,0.125,-,-4.171305603,59%-60%,-,-
,Petaurista hainana,254709,Mammals,1,8.1,0.125,-,-4.171305603,59%-60%,-,-
,Petaurista yunanensis,254710,Mammals,1,8.1,0.125,-,-4.171305603,59%-60%,-,-
,Accipiter imitator,387798,Aves,1,2.024625307,0.03125,0.773765984,-4.171120553,59%-60%,-0.922277796,5.736138033
,Vireo atricapilla,424701,Aves,1,2.399125192,0.037037037,-,-4.170941033,59%-60%,-,4.870103493
,Francolinus nobilis,389017,Aves,1,1.799047851,0.027777778,0.794125501,-4.170776492,59%-60%,-0.78339011,4.040705685
,Myrmeciza loricata,288074,Aves,1,3.597703202,0.055555556,0.942639196,-4.1706674,59%-60%,-1.282102522,7.767224846
,Myrmeciza squamosa,468495,Aves,1,3.597703202,0.055555556,-,-4.1706674,59%-60%,-,7.767224846
,Uratelornis chimaera,188346,Aves,1,16.18959329,0.25,-,-4.170663008,59%-60%,-,24.05428857
catfishes,Siluriformes,7995,Actinopterians,2583,150,2.316591928,-,-4.170538185,59%-60%,-,-
sora,Porzana carolina,261200,Aves,1,6.464539253,0.1,-,-4.168916835,59%-60%,-,9.679512084
,Geositta peruviana,307067,Aves,1,6.463952425,0.1,-,-4.168826054,59%-60%,-,8.753103045
,Trogon bairdii,369585,Aves,1,4.034297383,0.0625,-,-4.167420878,59%-60%,-,8.350824588
Greater tube-nosed bat,Murina leucogaster,187017,Mammals,1,1.5,0.023255814,-,-4.166665224,59%-60%,-,3.297145467
black-bellied sandgrouse,Pterocles orientalis,227169,Aves,1,8.062201743,0.125,-,-4.16662823,59%-60%,-,17.65929343
,Strix fulvescens,1053994,Aves,1,5.374689684,0.083333333,-,-4.166607489,59%-60%,-,8.773722469
,Erysimeae,947492,Embryophytes,140,20.65652174,0.320366133,-,-4.166321865,59%-60%,-,-
,Synallaxis candei,904819,Aves,1,1.952836197,0.03030303,-,-4.165790337,59%-60%,-,3.220730317
buff-breasted wren,Thryothorus leucotis,241539,Aves,1,3.580119944,0.055555556,1.122399661,-4.165768062,59%-60%,-1.111616236,5.932233703
,Ploceus weynsi,441721,Aves,1,1.288334335,0.02,-,-4.165373177,59%-60%,-,2.690679917
,Microbates,700773,Aves,2,9.908764712,0.153846154,-,-4.165221867,59%-60%,-,10.27564468
Cuban parakeet,Psittacara euops,867387,Aves,1,6.440522005,0.1,-,-4.165194687,59%-60%,-,9.79160267
grey crow,Corvus tristis,1196314,Aves,1,1.400060684,0.02173913,0.922568465,-4.165156978,59%-60%,-0.393818905,3.26775394
,Mungotictis decemlineata,205649,Mammals,1,16.1,0.25,-,-4.165113633,59%-60%,-,20.65750162
ring-tailed mongoose,Galidia elegans,61400,Mammals,1,16.1,0.25,-,-4.165113633,59%-60%,-,20.65750162
Araguaian boto,Inia araguaiaensis,1454009,Mammals,1,32.2,0.5,-,-4.165113633,59%-60%,-,-
Bolivian bufeo,Inia boliviensis,149089,Mammals,1,32.2,0.5,-,-4.165113633,59%-60%,-,-
boutu,Inia geoffrensis,9725,Mammals,1,32.2,0.5,-,-4.165113633,59%-60%,-,36.37029938
brown gerygone,Gerygone mouki,117495,Aves,1,4.291820203,0.066666667,-,-4.164761134,59%-60%,-,8.239965094
spot-breasted wren,Thryothorus maculipectus,241540,Aves,1,3.576075576,0.055555556,-,-4.164637749,59%-60%,-,5.773206938
,Melaniparus cinerascens,1356374,Aves,1,4.596605273,0.071428571,-,-4.164375377,59%-60%,-,8.623374366
,Meliphaga albilineata,390652,Aves,1,4.945933936,0.076923077,0.771653809,-4.163515169,59%-60%,-1.762760396,8.525996414
,Dasypus,9360,Mammals,9,41.3,0.642857143,1.05924935,-4.162695252,59%-60%,-3.188995902,18.86794633
,Cercomacra brasiliana,867192,Aves,1,5.838562311,0.090909091,-,-4.16237986,59%-60%,-,7.006832671
,Centropus grillii,382247,Aves,1,7.135554282,0.111111111,-,-4.16231451,59%-60%,-,11.38734889
ruddy quail-dove,Geotrygon montana,115651,Aves,1,10.69704537,0.166666667,-,-4.161727039,59%-60%,-,17.82738658
Shortridge's langur,Trachypithecus shortridgei,1042121,Mammals,1,4.011111111,0.0625,-,-4.16165701,59%-60%,-,-
Indochinese lutung,Trachypithecus germaini,271260,Mammals,1,4.011111111,0.0625,-,-4.16165701,59%-60%,-,-
,Trachypithecus barbei,271261,Mammals,1,4.011111111,0.0625,-,-4.16165701,59%-60%,-,-
Delacour's langur,Trachypithecus delacouri,465717,Mammals,1,4.011111111,0.0625,-,-4.16165701,59%-60%,-,-
Laotian langur,Trachypithecus laotum,465718,Mammals,1,4.011111111,0.0625,-,-4.16165701,59%-60%,-,-
White-headed langur,Trachypithecus poliocephalus,465719,Mammals,1,4.011111111,0.0625,-,-4.16165701,59%-60%,-,-
,Trachypithecus sp.,580599,Mammals,1,4.011111111,0.0625,-,-4.16165701,59%-60%,-,-
Hatinh langur,Trachypithecus hatinhensis,867383,Mammals,1,4.011111111,0.0625,-,-4.16165701,59%-60%,-,-
,Meliphaga reticulata,390655,Aves,1,4.934279342,0.076923077,0.884467857,-4.16115599,59%-60%,-1.635580785,8.520169118
,Glaucidium jardinii,126808,Aves,1,3.373717886,0.052631579,-,-4.160454346,59%-60%,-,6.55407218
,Philemon citreogularis,266328,Aves,1,10.68118768,0.166666667,-,-4.160243503,59%-60%,-,12.78175556
,Cocoseae,169705,Embryophytes,159,47.14444444,0.736111111,-,-4.15959038,59%-60%,-,-
,Elaphoglossum,32138,Embryophytes,202,60.67333333,0.948356808,-,-4.158528751,59%-60%,-,-
,Hylopetes,100944,Mammals,5,12.3,0.192307692,0.836126443,-4.158257888,59%-60%,-2.481561873,9.311980558
great horned owl,Bubo virginianus,56268,Aves,1,4.263828837,0.066666667,-,-4.158217746,59%-60%,-,7.704046342
papuan thornbill,Acanthiza murina,117493,Aves,1,5.316357477,0.083333333,-,-4.155695034,59%-60%,-,8.904856087
yellow thornbill,Acanthiza nana,117192,Aves,1,5.316351829,0.083333333,-,-4.155693971,59%-60%,-,8.904853289
Agile antechinus,Antechinus agilis,400481,Mammals,1,7.0875,0.111111111,-,-4.155557246,59%-60%,-,-
,Antechinus sp.,71387,Mammals,1,7.0875,0.111111111,-,-4.155557246,59%-60%,-,-
,Phyllastrephus terrestris,374626,Aves,1,4.556084288,0.071428571,-,-4.155520876,59%-60%,-,7.508410776
white-browed bulbul,Pycnonotus luteolus,1767020,Aves,1,1.992898105,0.03125,0.906825209,-4.155325816,59%-60%,-0.753515067,6.553652929
Sulawesi owl,Tyto rosenbergii,1424617,Aves,1,4.250791571,0.066666667,-,-4.155155419,59%-60%,-,22.1479293
Eurasian tree sparrow,Passer montanus,9160,Aves,1,5.793099969,0.090909091,1.079937403,-4.154562822,59%-60%,-1.598940563,7.420833724
,Aethopyga saturata,1118499,Aves,1,4.900716292,0.076923077,-,-4.154330734,59%-60%,-,9.093016728
,Melaniparus albiventris,1356372,Aves,1,4.549521963,0.071428571,-,-4.154079494,59%-60%,-,8.542632304
gray-crowned babbler,Pomatostomus temporalis,9178,Aves,1,15.92040135,0.25,-,-4.153895752,59%-60%,-,24.42174158
,Gallirallus striatus,1150670,Aves,1,3.977094158,0.0625,-,-4.153140164,59%-60%,-,6.852258383
ashy wood-pigeon,Columba pulchricollis,177143,Aves,1,3.348813361,0.052631579,-,-4.153045042,59%-60%,-,8.080974671
,Onychognathus walleri,451419,Aves,1,7.069345799,0.111111111,-,-4.152992521,59%-60%,-,8.355331605
,Onychognathus fulgidus,451415,Aves,1,7.068839023,0.111111111,-,-4.152920832,59%-60%,-,8.355015317
Blyth's parrotbill,Paradoxornis nipalensis,201374,Aves,1,3.74133581,0.058823529,-,-4.15265606,59%-60%,-,6.315428218
aardwolf,Proteles cristatus,9680,Mammals,1,21.2,0.333333333,-,-4.15261347,59%-60%,-,26.15048316
Arabian wheatear,Oenanthe lugentoides,391707,Aves,1,2.649904462,0.041666667,0.822833183,-4.152577417,59%-60%,-1.120127734,5.337792975
,Grallaria albigula,555259,Aves,1,3.176806722,0.05,-,-4.15160879,59%-60%,-,6.960271511
black-whiskered vireo,Vireo altiloquus,34956,Aves,1,2.351798296,0.037037037,-,-4.151017134,59%-60%,-,4.509987244
blue-fronted redstart,Phoenicurus frontalis,228307,Aves,1,7.055319068,0.111111111,-,-4.151006387,59%-60%,-,8.607132139
,Alcippe morrisonia,204791,Aves,1,3.965698827,0.0625,-,-4.150270811,59%-60%,-,8.029698168
spread-wing skippers,Pyrginae,40100,Arthropods,405,57.6,0.908071749,-,-4.149954453,59%-60%,-,-
,Myiophobus phoenicomitra,495169,Aves,1,9.061105234,0.142857143,-,-4.149901252,59%-60%,-,10.42717632
,Melaniparus,1356369,Aves,15,15.84975839,0.25,-,-4.149448618,59%-60%,-,9.295552092
,Malurus campbelli,1034722,Aves,1,5.281132175,0.083333333,-,-4.149047152,59%-60%,-,10.75875358
,Emberiza cirlus,100457,Aves,1,2.044182571,0.032258065,-,-4.148985193,59%-60%,-,5.38981924
,Herpsilochmus longirostris,867205,Aves,1,4.872114994,0.076923077,-,-4.148477491,59%-60%,-,6.260310722
,Parahyaena brunnea,172271,Mammals,1,21.1,0.333333333,-,-4.147885329,59%-60%,-,26.08381649
striped hyena,Hyaena hyaena,95912,Mammals,1,21.1,0.333333333,-,-4.147885329,59%-60%,-,26.08381649
spotted hyena,Crocuta crocuta,9678,Mammals,1,21.1,0.333333333,-,-4.147885329,59%-60%,-,26.08381649
,Myzopoda aurita,155038,Mammals,1,63.3,1,-,-4.147885329,59%-60%,-,63.35634698
,Myzopoda schliemanni,344224,Mammals,1,63.3,1,-,-4.147885329,59%-60%,-,-
,Dyckia,49483,Embryophytes,73,33,0.521428571,-,-4.147690543,59%-60%,-,-
,Erythronium,49641,Embryophytes,28,13.95,0.220472441,-,-4.147462085,59%-60%,-,-
,Crypturellus cinereus,1118537,Aves,1,7.027358024,0.111111111,0.947759175,-4.147035398,59%-60%,-1.892608249,17.9752641
,Taeniopygia,59728,Aves,3,9.032179495,0.142857143,1.009898564,-4.146703849,59%-60%,-2.058638357,9.018238584
,Coeligena coeligena,56650,Aves,1,5.746669684,0.090909091,-,-4.146515775,59%-60%,-,8.183098673
Smokey vole,Neodon fuscus,771787,Mammals,1,7.9,0.125,-,-4.146304301,59%-60%,-,12.38690659
,Streptopelia decipiens,177148,Aves,1,4.514211511,0.071428571,-,-4.146287864,59%-60%,-,7.412580599
,Cinclocerthia,58196,Aves,2,3.949034808,0.0625,-,-4.146059919,59%-60%,-,4.699280786
,Pronophilina,150885,Arthropods,150,39,0.617283951,-,-4.145987795,59%-60%,-,-
summer tanager,Piranga rubra,36733,Aves,1,7.895468008,0.125,0.976052446,-4.145730467,59%-60%,-1.970022433,9.239455765
,Loricariinae,503143,Actinopterians,241,65.3,1.034334764,-,-4.145233556,59%-60%,-,-
,Apalis rufogularis,405070,Aves,1,5.260779347,0.083333333,-,-4.14518583,60%-61%,-,6.68752932
,Amazilia chionogaster,304600,Aves,1,2.337912988,0.037037037,-,-4.145095512,60%-61%,-,3.85075955
Kalkadoon grasswren,Amytornis ballarae,722641,Aves,1,6.311974302,0.1,0.786804325,-4.145033605,60%-61%,-1.962579437,12.43619825
Dusky grasswren,Amytornis purnelli,722646,Aves,1,6.311974302,0.1,-,-4.145033605,60%-61%,-,12.43619825
Fischer's turaco,Tauraco fischeri,119414,Aves,1,6.308367789,0.1,0.988393973,-4.144462066,60%-61%,-1.757173782,16.5021386
,Pterodroma magentae,53676,Aves,1,2.174275708,0.034482759,0.84324462,-4.143991431,60%-61%,-0.907114837,5.230679235
Blue-throated flycatcher,Cyornis rubeculoides,757474,Aves,1,7.005434808,0.111111111,0.954856207,-4.143910826,60%-61%,-1.882803582,7.997272524
,Cathartes,33611,Aves,3,47.27813756,0.75,-,-4.143730053,60%-61%,-,33.75766285
,Cercomacra parkeri,867196,Aves,1,5.73008188,0.090909091,1,-4.143625093,60%-61%,-1.658718443,7.221786814
Southern spiny pocket mouse,Heteromys australis,435255,Mammals,1,7,0.111111111,1.119524741,-4.143134726,60%-61%,-1.738379161,8.808826009
white-fronted langur,Presbytis frontata,1046092,Mammals,1,7,0.111111111,0.883799526,-4.143134726,60%-61%,-1.951012507,8.230793824
Mentawai langur,Presbytis potenziani,1046098,Mammals,1,7,0.111111111,-,-4.143134726,60%-61%,-,8.230793824
maroon leaf-monkey,Presbytis rubicunda,1046101,Mammals,1,7,0.111111111,0.884665066,-4.143134726,60%-61%,-1.950142917,8.230793824
desert tawny owl,Strix hadorami,1614699,Aves,1,5.249017733,0.083333333,-,-4.14294761,60%-61%,-,-
black-and-white seedeater,Sporophila luctuosa,256695,Aves,1,2.171534644,0.034482759,0.960242285,-4.142729957,60%-61%,-0.780723045,3.054863293
hick-billed vireo,Vireo crassirostris,768464,Aves,1,2.331415006,0.037037037,0.99988795,-4.142312248,60%-61%,-0.810215792,5.034590305
Godlewski's bunting,Emberiza godlewskii,460201,Aves,1,2.029158195,0.032258065,-,-4.141608229,60%-61%,-,4.655923182
Bobrinski's serotine,Eptesicus bobrinskoi,1195382,Mammals,1,3.7,0.058823529,0.739033052,-4.141546164,60%-61%,-1.53415924,7.510563907
northern bat,Eptesicus nilssonii,59451,Mammals,1,3.7,0.058823529,-,-4.141546164,60%-61%,-,7.510563907
Kenya violet-backed sunbird,Anthreptes orientalis,233788,Aves,1,10.48174956,0.166666667,-,-4.141395077,60%-61%,-,14.03408707
,Lessingia,71061,Embryophytes,13,7.5,0.119266055,-,-4.141301545,60%-61%,-,-
,Theristicus melanopis,555358,Aves,1,31.41989094,0.5,1.017480622,-4.140588342,60%-61%,-3.030389688,35.25456939
,Euplerinae,219108,Mammals,3,37.7,0.6,-,-4.140485718,60%-61%,-,25.79365425
,Brachygalba lugubris,1118515,Aves,1,6.978099709,0.111111111,-,-4.140001209,60%-61%,-,15.47976884
Bocage's akalat,Sheppardia bocagei,228337,Aves,1,6.974405082,0.111111111,-,-4.139471609,60%-61%,-,8.653104142
,Myrmicinae,34695,Arthropods,2033,105.2105263,1.677392739,-,-4.138722708,60%-61%,-,-
,Ceyx madagascariensis,342357,Aves,1,8.958599315,0.142857143,-,-4.138524037,60%-61%,-,11.26522784
,Carpodacus puniceus,571886,Aves,1,3.300461963,0.052631579,-,-4.138501427,60%-61%,-,5.927290615
,Sturnus albofrontatus,451422,Aves,1,4.477401713,0.071428571,-,-4.138100233,60%-61%,-,5.416560332
,Hydropsalis,335116,Aves,5,6.813353142,0.108695652,0.919325654,-4.138087868,60%-61%,-1.891248491,8.848389062
,Luscinia pectardens,358822,Aves,1,4.178035178,0.066666667,-,-4.137891284,60%-61%,-,7.10469969
,Amazilia viridicauda,688846,Aves,1,2.320149653,0.037037037,-,-4.137468555,60%-61%,-,3.841877883
,Sophophora,32341,Arthropods,167,38.6,0.616236162,-,-4.137377285,60%-61%,-,-
whitebrowed wagtail,Motacilla madaraspatensis,211422,Aves,1,4.816327719,0.076923077,1.105662653,-4.136961111,60%-61%,-1.404308416,7.35986891
collared sunbird,Anthreptes collaris,208075,Aves,1,10.43005913,0.166666667,-,-4.136451407,60%-61%,-,12.43366015
,Sakesphorus cristatus,419689,Aves,1,12.5135612,0.2,-,-4.136250865,60%-61%,-,12.73924802
,Sporophila intermedia,357733,Aves,1,2.156597496,0.034482759,0.952357721,-4.135827576,60%-61%,-0.781778621,3.061817457
,Gallicolumba kubaryi,977962,Aves,1,4.168893555,0.066666667,-,-4.135700867,60%-61%,-,11.12781914
,Synallaxis zimmeri,1094529,Aves,1,1.894634565,0.03030303,-,-4.13553354,60%-61%,-,3.233422881
,Pycnonotus,125282,Aves,33,25.16001555,0.402439024,0.890890298,-4.135467736,60%-61%,-2.968036286,7.765066577
,Microsciurus,45476,Mammals,2,5,0.08,1.008552649,-4.135166557,60%-61%,-1.524588944,4.843382179
white-eyed parakeet,Psittacara leucophthalmus,178885,Aves,1,6.247907502,0.1,-,-4.134831701,60%-61%,-,10.29825335
,Aerodramus vanikorensis,243317,Aves,1,4.165123156,0.066666667,-,-4.134796046,60%-61%,-,-
,Aerodramus mearnsi,243318,Aves,1,4.165123156,0.066666667,-,-4.134796046,60%-61%,-,-
,Aerodramus papuensis,326917,Aves,1,4.165123156,0.066666667,-,-4.134796046,60%-61%,-,-
white-rumped swiftlet,Aerodramus spodiopygius,46482,Aves,1,4.165123156,0.066666667,-,-4.134796046,60%-61%,-,-
,Garrulax maximus,520174,Aves,1,1.452944092,0.023255814,0.910411811,-4.134792022,60%-61%,-0.442226672,3.268565597
spinner dolphin,Stenella longirostris,9736,Mammals,1,15.6,0.25,-,-4.133565275,60%-61%,-,16.84317219
